Model,Latency (ms),Throughput (tokens/sec),ROUGE-1,ROUGE-2,ROUGE-L,BLEU Score,CHRF Score,Unique n-grams,Entropy,Repeated n-grams (%),Coherence (Cosine Similarity),Precision,variant_id
FP16DeepSeek-R1-Distill-Qwen-1.5B,24860.83674430847,5.3900036180671735,0.0594059405940594,0.0404040404040404,0.0594059405940594,0.0222462672092259,0.0589214609964761,0.7227722772277227,5.492383700951256,0.0,0.0,INT4,FP16DeepSeek-R1-Distill-Qwen-1.5B (INT4)
FP16DeepSeek-R1-Distill-Qwen-7B,216863.5873794556,0.6178999509287579,0.0638297872340425,0.0217391304347826,0.0638297872340425,0.0255901590405087,0.0493313033388562,0.875,5.570060453790816,0.0,0.0,INT4,FP16DeepSeek-R1-Distill-Qwen-7B (INT4)
FP16DeepSeek-R1-Distill-Llama-8B,67071.09904289246,1.9978798903281128,0.0545454545454545,0.037037037037037,0.0545454545454545,0.0316740705285098,0.0543096572454737,0.9339622641509434,6.005003563213287,0.0,0.0,INT4,FP16DeepSeek-R1-Distill-Llama-8B (INT4)
FP16qwen2.5-0.5b-instruct,9054.84390258789,14.688270878086408,0.081081081081081,0.0555555555555555,0.081081081081081,0.0411188844813976,0.0852885917503092,0.9390243902439024,5.679385657368855,0.0,0.0,INT4,FP16qwen2.5-0.5b-instruct (INT4)
FP16qwen2.5-1.5b-instruct,21806.80799484253,4.264723201212905,0.1578947368421052,0.1111111111111111,0.1578947368421052,0.0642821602452021,0.1518109797861232,0.8679245283018868,4.697181011486017,0.0,0.0,INT4,FP16qwen2.5-1.5b-instruct (INT4)
FP16qwen2.5-3b-instruct,6514.874696731567,4.911836603097525,0.2666666666666666,0.1538461538461538,0.2666666666666666,0.164519293999331,0.2090970420802353,0.9333333333333332,3.773557262275185,0.0,0.0,INT4,FP16qwen2.5-3b-instruct (INT4)
FP16qwen2.5-7b-instruct,60172.13034629822,2.21032559815596,0.072289156626506,0.0493827160493827,0.072289156626506,0.0401218776374591,0.0732706385830843,0.8928571428571429,5.383638185240658,0.0,0.0,INT4,FP16qwen2.5-7b-instruct (INT4)
FP16tiny-llama-1b-chat,16058.432340621948,8.095435297949205,0.1224489795918367,0.0851063829787234,0.1224489795918367,0.0469527266228307,0.1499781572076269,0.9444444444444444,4.41883888985043,0.0,0.0,INT4,FP16tiny-llama-1b-chat (INT4)
FP16llama-3.2-1b-instruct,7877.084732055664,13.329804562429583,0.074074074074074,0.0253164556962025,0.074074074074074,0.027160394441483,0.047787159523836,0.8795180722891566,5.131435625687889,0.0,0.0,INT4,FP16llama-3.2-1b-instruct (INT4)
FP16llama-3.2-3b-instruct,27402.129888534542,4.890130823592204,0.0560747663551401,0.038095238095238,0.0560747663551401,0.0319801357415931,0.0566497461087513,0.8571428571428571,5.7332004615642695,0.0,0.0,INT4,FP16llama-3.2-3b-instruct (INT4)
FP16zephyr-7b-beta,60639.00852203369,2.226289698502353,0.0612244897959183,0.0416666666666666,0.0612244897959183,0.023674033167752,0.0583706871904324,0.9157894736842104,5.614129423915461,0.0,0.0,INT4,FP16zephyr-7b-beta (INT4)
FP16gemma-2b-it,7267.168045043945,6.742654042989547,0.1379310344827586,0.074074074074074,0.1379310344827586,0.0835976409843371,0.1652338871060743,0.7857142857142857,3.842370993177109,0.0,0.0,INT4,FP16gemma-2b-it (INT4)
FP16gemma-2-2b-it,5640.45524597168,6.027882239519983,0.2608695652173913,0.1904761904761905,0.2608695652173913,0.1700107809840422,0.2500253190521059,0.9523809523809524,4.297079327540666,0.0,0.0,INT4,FP16gemma-2-2b-it (INT4)
FP16gemma-2-9b-it,67532.38463401794,0.5182698669634942,0.2608695652173913,0.1904761904761905,0.2608695652173913,0.1700107809840422,0.2450359568180367,0.9523809523809524,4.297079327540666,0.0,0.0,INT4,FP16gemma-2-9b-it (INT4)
FP16notus-7b-v1,64559.650897979736,2.091089374280129,0.0618556701030927,0.0421052631578947,0.0618556701030927,0.023674033167752,0.0603450122888749,0.8421052631578947,5.69728873475641,0.0,0.0,INT4,FP16notus-7b-v1 (INT4)
FP16minicpm3-4b,9406.693458557129,2.126145609837673,0.6,0.5,0.6,0.4463236137853328,0.5478142346906297,0.8888888888888888,2.725480556997868,0.0,0.0,INT4,FP16minicpm3-4b (INT4)
INT4DeepSeek-R1-Distill-Qwen-1.5B,7707.976341247559,17.384588907328133,0.1428571428571428,0.05,0.1428571428571428,0.0503446068227303,0.1406866456493381,0.9791666666666666,4.634761657503722,0.0,0.0,FP16,INT4DeepSeek-R1-Distill-Qwen-1.5B (FP16)
INT4DeepSeek-R1-Distill-Qwen-7B,56090.147495269775,2.389011368017896,0.0681818181818181,0.0465116279069767,0.0681818181818181,0.0387138472888192,0.0682625017764336,0.8160919540229885,5.350315334630777,3.4482758620689653,0.0,FP16,INT4DeepSeek-R1-Distill-Qwen-7B (FP16)
INT4DeepSeek-R1-Distill-Llama-8B,29102.829933166504,4.604363228858695,0.0681818181818181,0.0465116279069767,0.0681818181818181,0.0255901590405087,0.0657462943708585,0.8863636363636364,5.473580624294531,1.1363636363636365,0.0,FP16,INT4DeepSeek-R1-Distill-Llama-8B (FP16)
INT4qwen2.5-0.5b-instruct,3718.015432357788,35.77177190888036,0.0789473684210526,0.054054054054054,0.0789473684210526,0.0339483954244015,0.0813940147091148,0.696969696969697,5.182563191622859,0.0,0.0,FP16,INT4qwen2.5-0.5b-instruct (FP16)
INT4qwen2.5-1.5b-instruct,3660.7508659362793,9.834048073302192,0.3529411764705882,0.2666666666666667,0.3529411764705882,0.2140909265975804,0.2989303567713718,0.9411764705882352,3.734521664779752,0.0,0.0,FP16,INT4qwen2.5-1.5b-instruct (FP16)
INT4qwen2.5-3b-instruct,6167.704343795776,3.242697588142081,0.5,0.3333333333333333,0.5,0.2984745896009823,0.3151663151663151,0.8888888888888888,2.725480556997868,0.0,0.0,FP16,INT4qwen2.5-3b-instruct (FP16)
INT4qwen2.5-7b-instruct,28736.822605133057,4.628208268795978,0.0615384615384615,0.0317460317460317,0.0615384615384615,0.0278438083263775,0.0709180336599263,0.8888888888888888,5.333875392324575,0.0,0.0,FP16,INT4qwen2.5-7b-instruct (FP16)
INT4tiny-llama-1b-chat,4734.71999168396,28.51277377270744,0.074074074074074,0.050632911392405,0.074074074074074,0.0421667093080309,0.0785752665303753,0.55,4.512492001110319,1.25,0.0,FP16,INT4tiny-llama-1b-chat (FP16)
INT4llama-3.2-1b-instruct,5683.32839012146,23.5777331172546,0.1132075471698113,0.0784313725490195,0.1132075471698113,0.0401218776374591,0.188787574107971,0.5833333333333334,3.61007166776166,14.285714285714285,0.0,FP16,INT4llama-3.2-1b-instruct (FP16)
INT4llama-3.2-3b-instruct,13235.87131500244,10.12400293195018,0.0517241379310344,0.0350877192982456,0.0517241379310344,0.0291622159772622,0.0655736528349281,0.2608695652173913,3.50282594697423,0.0,0.0,FP16,INT4llama-3.2-3b-instruct (FP16)
INT4zephyr-7b-beta,30112.271785736084,4.483222021924905,0.0666666666666666,0.0454545454545454,0.0666666666666666,0.0241915748247312,0.0634091809588424,0.935483870967742,5.806481762856229,0.0,0.0,FP16,INT4zephyr-7b-beta (FP16)
INT4gemma-2b-it,4337.922811508179,7.837852695257876,0.2352941176470588,0.1333333333333333,0.2352941176470588,0.1431712315455507,0.2166282977428487,0.7647058823529411,3.337175341123077,0.0,0.0,FP16,INT4gemma-2b-it (FP16)
INT4gemma-2-2b-it,4597.316265106201,7.395619104576564,0.2608695652173913,0.1904761904761905,0.2608695652173913,0.1700107809840422,0.2500253190521059,0.9523809523809524,4.297079327540666,0.0,0.0,FP16,INT4gemma-2-2b-it (FP16)
INT4gemma-2-9b-it,17309.56268310547,2.19531831599009,0.2222222222222222,0.16,0.2222222222222222,0.1410002457876886,0.2132146596084166,0.96,4.563856189774725,0.0,0.0,FP16,INT4gemma-2-9b-it (FP16)
DeepSeek-R1-Distill-Qwen-1.5B,7178.572654724121,18.666663478263526,0.1071428571428571,0.074074074074074,0.1071428571428571,0.044431190770437,0.1754181139562548,0.4605263157894737,3.3648696472465875,0.0,0.0,INT8,DeepSeek-R1-Distill-Qwen-1.5B (INT8)
DeepSeek-R1-Distill-Qwen-7B,28169.971466064453,4.7568383291202805,0.0533333333333333,0.0273972602739726,0.0533333333333333,0.0281985780425047,0.0521352639296188,0.875,5.495191026294642,0.0,0.0,INT8,DeepSeek-R1-Distill-Qwen-7B (INT8)
DeepSeek-R1-Distill-Llama-8B,30186.90395355225,4.439011042874158,0.0571428571428571,0.0388349514563106,0.0571428571428571,0.0326103619335701,0.0545468313853791,0.9514563106796116,5.94606691061535,0.0,0.0,INT8,DeepSeek-R1-Distill-Llama-8B (INT8)
qwen2.5-0.5b-instruct,3331.8166732788086,39.91816268483824,0.12,0.0833333333333333,0.12,0.0462958833616494,0.1430715003470425,0.6027397260273972,4.21341454552611,0.0,0.0,INT8,qwen2.5-0.5b-instruct (INT8)
qwen2.5-1.5b-instruct,7612.307071685791,17.471707164139183,0.0625,0.0425531914893616,0.0625,0.0336036970226911,0.0549065053729651,0.99,6.320210910008724,0.0,0.0,INT8,qwen2.5-1.5b-instruct (INT8)
qwen2.5-3b-instruct,3270.3778743743896,9.479026947590937,0.25,0.1428571428571428,0.25,0.1431712315455507,0.1966961537034976,0.8823529411764706,3.734521664779752,0.0,0.0,INT8,qwen2.5-3b-instruct (INT8)
qwen2.5-7b-instruct,6035.790205001831,3.9762813459141295,0.4615384615384615,0.3636363636363636,0.4615384615384615,0.23462350320528,0.361494279141338,0.9090909090909092,3.277613436819116,0.0,0.0,INT8,qwen2.5-7b-instruct (INT8)
tiny-llama-1b-chat,4178.080081939697,27.285259680105234,0.1538461538461538,0.1081081081081081,0.1538461538461538,0.0547159715265612,0.2060956629814508,0.9838709677419356,4.12640094696023,0.0,0.0,INT8,tiny-llama-1b-chat (INT8)
llama-3.2-1b-instruct,5606.716871261597,23.899904895652053,0.0363636363636363,0.0185185185185185,0.0363636363636363,0.0083427598473021,0.0342377562500076,0.9065420560747663,5.911616635751882,0.0,0.0,INT8,llama-3.2-1b-instruct (INT8)
llama-3.2-3b-instruct,7577.43239402771,10.029782655652694,0.1304347826086956,0.0909090909090909,0.1304347826086956,0.0711980257610463,0.1244628683085858,0.875,4.800556574587755,0.0,0.0,INT8,llama-3.2-3b-instruct (INT8)
zephyr-7b-beta,28617.65480041504,4.717367685839935,0.0612244897959183,0.0416666666666666,0.0612244897959183,0.023674033167752,0.0579643229922416,0.9157894736842104,5.6351820554944085,0.0,0.0,INT8,zephyr-7b-beta (INT8)
gemma-2b-it,1450.643539428711,13.09763527949984,0.4,0.25,0.4,0.2984745896009823,0.3343084049605789,0.8888888888888888,2.725480556997868,0.0,0.0,INT8,gemma-2b-it (INT8)
gemma-2-2b-it,2728.304147720337,12.461953711579062,0.2608695652173913,0.1904761904761905,0.2608695652173913,0.1700107809840422,0.2500253190521059,0.9523809523809524,4.297079327540666,0.0,0.0,INT8,gemma-2-2b-it (INT8)
gemma-2-9b-it,16624.333143234253,2.8873338609395574,0.1666666666666666,0.1176470588235294,0.1666666666666666,0.1018988257220787,0.1596167019950334,0.9705882352941176,4.85216872360328,0.0,0.0,INT8,gemma-2-9b-it (INT8)
